# id|title|release date|genres|director|runtime|original synopsis
interstellar|Interstellar|2014-11-07|Science Fiction,Adventure,Drama|Christopher Nolan|169|With Earth becoming uninhabitable, a pilot leaves his family to search for humanity's next home beyond a distant wormhole.
arrival|Arrival|2016-11-11|Science Fiction,Drama|Denis Villeneuve|116|A linguist tries to understand visitors from another world and discovers that their language may change her understanding of time.
dune|Dune|2021-10-22|Science Fiction,Adventure|Denis Villeneuve|155|A young heir travels to a desert planet where a struggle over its most valuable resource threatens his family and his future.
blade-runner|Blade Runner 2049|2017-10-06|Science Fiction,Thriller|Denis Villeneuve|164|A discovery leads a replicant detective through a rain-soaked future in search of someone who vanished decades ago.
inception|Inception|2010-07-16|Science Fiction,Thriller,Action|Christopher Nolan|148|A team of dream thieves attempts to plant an idea deep inside a stranger's mind while their leader struggles with his own memories.
matrix|The Matrix|1999-03-31|Science Fiction,Action|Lana and Lilly Wachowski|136|A programmer follows a mysterious message and finds that the world he knows is hiding a much larger reality.
grand-budapest|The Grand Budapest Hotel|2014-03-07|Comedy,Adventure|Wes Anderson|99|A devoted concierge and his young assistant become entangled in a dispute over a fortune in a changing Europe.
whiplash|Whiplash|2014-10-10|Drama,Music|Damien Chazelle|106|An ambitious jazz drummer is pushed to his limits by a demanding teacher whose methods blur the line between mentorship and obsession.
parasite|Parasite|2019-05-30|Drama,Thriller|Bong Joon Ho|132|A struggling family gradually finds work in a wealthy household, building a fragile arrangement that begins to unravel.
spirited-away|Spirited Away|2001-07-20|Animation,Fantasy,Adventure|Hayao Miyazaki|125|A girl enters a world of spirits and takes a job in a mysterious bathhouse while searching for a way to save her parents.
soul|Soul|2020-12-25|Animation,Music,Fantasy|Pete Docter|100|A jazz musician on the verge of his big break takes an unexpected journey that changes how he thinks about purpose.
everything-everywhere|Everything Everywhere All at Once|2022-03-25|Science Fiction,Comedy,Action|Daniel Kwan and Daniel Scheinert|139|An overwhelmed laundromat owner discovers alternate versions of her life while trying to reconnect with her family.
fantastic-fox|Fantastic Mr. Fox|2009-11-13|Animation,Comedy,Adventure|Wes Anderson|87|A fox returns to his old habits and puts his family and woodland neighbors at odds with three determined farmers.
moonlight|Moonlight|2016-10-21|Drama|Barry Jenkins|111|Three chapters follow a young man growing up in Miami as he searches for connection and a place to be himself.
la-la-land|La La Land|2016-12-09|Drama,Music,Romance|Damien Chazelle|128|An aspiring actor and a jazz pianist fall in love while pursuing careers that pull their lives in different directions.
truman-show|The Truman Show|1998-06-05|Drama,Comedy|Peter Weir|103|A cheerful insurance salesman begins noticing small inconsistencies in the seemingly perfect town he has never left.
oppenheimer|Oppenheimer|2023-07-21|Drama,History|Christopher Nolan|180|A physicist leads the development of the atomic bomb and later faces the personal and political consequences of his work.
batman|The Batman|2022-03-04|Action,Thriller,Crime|Matt Reeves|176|A masked detective follows a trail of clues through Gotham's institutions as a killer targets the city's powerful figures.
